subjID,trial_type,object1,object2,response,correct_object,correct,exp,response_object,object1_info,object2_info,trial_subset1,trial_subset2,response_info
54,2,CF22,C24,2,C24,TRUE,0,C24,short-foil,short,2.2,2.8,short
54,6,Dv8,B18,2,NA,FALSE,0,B18,single,long,6.1,0,long
54,3,A110,B214,1,NA,FALSE,0,A110,related,baseline,3.2,0,related
54,3,B24,A24,1,NA,FALSE,0,B24,baseline,prac,3.1,0,baseline
54,2,CF11,C11,2,C11,TRUE,0,C11,short-foil,short,2.2,2.7,short
54,4,DF5,Dv5,2,Dv5,TRUE,0,Dv5,single-foil,single,4,4.3,single
54,6,B17,BF15,1,B17,TRUE,0,B17,long,long-foil,6.2,0,long
54,3,B112,A210,2,NA,FALSE,0,A210,baseline,related,3.2,0,related
54,4,DF7,Dv7,1,Dv7,FALSE,0,DF7,single-foil,single,4,4.4,single-foil
54,6,BF16,B110,2,B110,TRUE,0,B110,long-foil,long,6.2,0,long
54,1,A15,A12,2,NA,FALSE,0,A12,prac,related,1.1,1.3,related
54,4,Dv9,DF9,1,Dv9,TRUE,0,Dv9,single,single-foil,4,4.5,single
54,6,BF23,B28,1,B28,FALSE,0,BF23,long-foil,long,6.2,0,long-foil
54,4,Dv1,DF1,1,Dv1,TRUE,0,Dv1,single,single-foil,4,4.1,single
54,6,B29,BF25,1,B29,TRUE,0,B29,long,long-foil,6.2,0,long
54,2,CF13,BF13,1,NA,FALSE,0,CF13,short-foil,long-foil,2.4,0,short-foil
54,6,BF17,B15,1,B15,FALSE,0,BF17,long-foil,long,6.2,0,long-foil
54,2,C14,CF12,1,C14,TRUE,0,C14,short,short-foil,2.2,2.8,short
54,3,A27,B27,1,NA,FALSE,0,A27,prac,baseline,3.1,0,prac
54,4,Dv3,DF3,1,Dv3,TRUE,0,Dv3,single,single-foil,4,4.2,single
54,4,DF10,Dv10,2,Dv10,TRUE,0,Dv10,single-foil,single,4,4.6,single
54,2,B11,BF11,2,B11,FALSE,0,BF11,long,long-foil,2.1,2.5,long-foil
54,6,B16,Dv6,2,NA,FALSE,0,Dv6,long,single,6.1,0,single
56,5,XF1,Xv1,2,Xv1,TRUE,0,Xv1,buffer-foil,buffer,5,0,buffer
56,5,XF2,Xv2,1,Xv2,FALSE,0,XF2,buffer-foil,buffer,5,0,buffer-foil
56,5,Xv3,XF3,1,Xv3,TRUE,0,Xv3,buffer,buffer-foil,5,0,buffer
56,5,XF4,Xv4,1,Xv4,FALSE,0,XF4,buffer-foil,buffer,5,0,buffer-foil
56,5,XF5,Xv5,2,Xv5,TRUE,0,Xv5,buffer-foil,buffer,5,0,buffer
56,1,A13,A18,2,NA,FALSE,0,A18,A-start,A-end,1.2,0,A-end
56,6,BF23,B28,2,B28,TRUE,0,B28,long-foil,long,6.2,0,long
56,2,B22,C22,1,NA,FALSE,0,B22,long-list,short-list,2.3,0,long-list
56,4,Dv3,DF3,2,Dv3,FALSE,0,DF3,single,single-foil,4,4.2,single-foil
56,6,B210,BF24,1,B210,TRUE,0,B210,long,long-foil,6.2,0,long
56,2,CF14,BF14,2,NA,FALSE,0,BF14,short-foil,long-foil,2.4,0,long-foil
56,6,B15,BF17,1,B15,TRUE,0,B15,long,long-foil,6.2,0,long
56,1,A16,A19,1,NA,FALSE,0,A16,prac,related,1.1,1.4,prac
56,6,B29,BF25,1,B29,TRUE,0,B29,long,long-foil,6.2,0,long
56,2,CF11,C11,1,C11,FALSE,0,CF11,short-foil,short,2.2,2.7,short-foil
56,3,B13,A21,2,NA,FALSE,0,A21,baseline,related,3.3,0,related
56,2,C12,B12,1,NA,FALSE,0,C12,short-list,long-list,2.3,0,short-list
56,3,B112,A210,1,NA,FALSE,0,B112,baseline,related,3.2,0,baseline
56,6,B16,Dv6,1,NA,FALSE,0,B16,long,single,6.1,0,long
56,4,Dv10,DF10,1,Dv10,TRUE,0,Dv10,single,single-foil,4,4.6,single
56,6,B14,Dv4,1,NA,FALSE,0,B14,long,single,6.1,0,long
56,6,BF19,B111,2,B111,TRUE,0,B111,long-foil,long,6.2,0,long
56,6,BF18,B19,1,B19,FALSE,0,BF18,long-foil,long,6.2,0,long-foil
56,2,C13,B113,1,NA,FALSE,0,C13,short-list,long-list,2.3,0,short-list
56,3,B24,A24,2,NA,FALSE,0,A24,baseline,prac,3.1,0,prac
56,3,A17,B26,2,NA,FALSE,0,B26,prac,baseline,3.1,0,baseline
56,6,B18,Dv8,2,NA,FALSE,0,Dv8,long,single,6.1,0,single
56,4,Dv7,DF7,1,Dv7,TRUE,0,Dv7,single,single-foil,4,4.4,single
56,1,A29,A22,1,NA,FALSE,0,A29,A-end,A-start,1.2,0,A-end
56,2,BF11,B11,1,B11,FALSE,0,BF11,long-foil,long,2.1,2.5,long-foil
56,6,BF27,B212,1,B212,FALSE,0,BF27,long-foil,long,6.2,0,long-foil
56,4,DF1,Dv1,2,Dv1,TRUE,0,Dv1,single-foil,single,4,4.1,single
56,3,B27,A27,2,NA,FALSE,0,A27,baseline,prac,3.1,0,prac
56,2,CF12,C14,2,C14,TRUE,0,C14,short-foil,short,2.2,2.8,short
56,2,CF21,C21,2,C21,TRUE,0,C21,short-foil,short,2.2,2.7,short
56,2,BF21,CF23,1,NA,FALSE,0,BF21,long-foil,short-foil,2.4,0,long-foil
56,2,B114,BF12,1,B114,TRUE,0,B114,long,long-foil,2.1,2.6,long
56,3,A11,B21,1,NA,FALSE,0,A11,related,baseline,3.3,0,related
56,3,A25,B25,2,NA,FALSE,0,B25,prac,baseline,3.1,0,baseline
56,6,BF15,B17,1,B17,FALSE,0,BF15,long-foil,long,6.2,0,long-foil
56,2,C23,B213,1,NA,FALSE,0,C23,short-list,long-list,2.3,0,short-list
56,6,Dv2,B23,2,NA,FALSE,0,B23,single,long,6.1,0,long
56,4,DF5,Dv5,2,Dv5,TRUE,0,Dv5,single-foil,single,4,4.3,single
56,2,C24,CF22,2,C24,FALSE,0,CF22,short,short-foil,2.2,2.8,short-foil
56,3,A110,B214,1,NA,FALSE,0,A110,related,baseline,3.2,0,related
56,1,A23,A28,1,NA,FALSE,0,A23,A-start,A-end,1.2,0,A-start
56,4,Dv9,DF9,1,Dv9,TRUE,0,Dv9,single,single-foil,4,4.5,single
56,2,BF13,CF13,1,NA,FALSE,0,BF13,long-foil,short-foil,2.4,0,long-foil
56,6,BF16,B110,2,B110,TRUE,0,B110,long-foil,long,6.2,0,long
56,1,A12,A15,1,NA,FALSE,0,A12,related,prac,1.1,1.3,related
56,2,CF24,BF22,2,NA,FALSE,0,BF22,short-foil,long-foil,2.4,0,long-foil
56,6,BF26,B211,2,B211,TRUE,0,B211,long-foil,long,6.2,0,long
58,5,Xv1,XF1,1,Xv1,TRUE,0,Xv1,buffer,buffer-foil,5,0,buffer
58,5,Xv2,XF2,1,Xv2,TRUE,0,Xv2,buffer,buffer-foil,5,0,buffer
58,5,XF3,Xv3,2,Xv3,TRUE,0,Xv3,buffer-foil,buffer,5,0,buffer
58,5,Xv4,XF4,2,Xv4,FALSE,0,XF4,buffer,buffer-foil,5,0,buffer-foil
58,5,Xv5,XF5,1,Xv5,TRUE,0,Xv5,buffer,buffer-foil,5,0,buffer
58,1,A15,A12,1,NA,FALSE,0,A15,prac,related,1.1,1.3,prac
58,2,C22,B22,2,NA,FALSE,0,B22,short-list,long-list,2.3,0,long-list
58,4,DF10,Dv10,2,Dv10,TRUE,0,Dv10,single-foil,single,4,4.6,single
58,6,BF18,B19,2,B19,TRUE,0,B19,long-foil,long,6.2,0,long
58,4,Dv7,DF7,2,Dv7,FALSE,0,DF7,single,single-foil,4,4.4,single-foil
58,2,C23,B213,1,NA,FALSE,0,C23,short-list,long-list,2.3,0,short-list
58,3,A27,B27,1,NA,FALSE,0,A27,prac,baseline,3.1,0,prac
58,4,Dv3,DF3,2,Dv3,FALSE,0,DF3,single,single-foil,4,4.2,single-foil
58,6,BF15,B17,1,B17,FALSE,0,BF15,long-foil,long,6.2,0,long-foil
58,6,Dv8,B18,2,NA,FALSE,0,B18,single,long,6.1,0,long
58,1,A18,A13,1,NA,FALSE,0,A18,A-end,A-start,1.2,0,A-end
58,6,B210,BF24,1,B210,TRUE,0,B210,long,long-foil,6.2,0,long
58,3,A210,B112,1,NA,FALSE,0,A210,related,baseline,3.2,0,related
58,2,C11,CF11,2,C11,FALSE,0,CF11,short,short-foil,2.2,2.7,short-foil
58,4,Dv9,DF9,1,Dv9,TRUE,0,Dv9,single,single-foil,4,4.5,single
58,3,A110,B214,1,NA,FALSE,0,A110,related,baseline,3.2,0,related
58,2,B113,C13,2,NA,FALSE,0,C13,long-list,short-list,2.3,0,short-list
58,2,CF12,C14,1,C14,FALSE,0,CF12,short-foil,short,2.2,2.8,short-foil
58,6,B110,BF16,1,B110,TRUE,0,B110,long,long-foil,6.2,0,long
58,2,BF13,CF13,2,NA,FALSE,0,CF13,long-foil,short-foil,2.4,0,short-foil
58,6,BF27,B212,2,B212,TRUE,0,B212,long-foil,long,6.2,0,long
58,6,BF25,B29,1,B29,FALSE,0,BF25,long-foil,long,6.2,0,long-foil
58,6,Dv2,B23,2,NA,FALSE,0,B23,single,long,6.1,0,long
58,2,B114,BF12,1,B114,TRUE,0,B114,long,long-foil,2.1,2.6,long
58,3,A24,B24,1,NA,FALSE,0,A24,prac,baseline,3.1,0,prac
58,2,CF21,C21,2,C21,TRUE,0,C21,short-foil,short,2.2,2.7,short
58,6,B15,BF17,1,B15,TRUE,0,B15,long,long-foil,6.2,0,long
58,3,B13,A21,2,NA,FALSE,0,A21,baseline,related,3.3,0,related
58,6,B211,BF26,1,B211,TRUE,0,B211,long,long-foil,6.2,0,long
58,2,BF21,CF23,2,NA,FALSE,0,CF23,long-foil,short-foil,2.4,0,short-foil
58,1,A28,A23,2,NA,FALSE,0,A23,A-end,A-start,1.2,0,A-start
58,3,B21,A11,1,NA,FALSE,0,B21,baseline,related,3.3,0,baseline
58,2,CF14,BF14,1,NA,FALSE,0,CF14,short-foil,long-foil,2.4,0,short-foil
58,6,BF23,B28,1,B28,FALSE,0,BF23,long-foil,long,6.2,0,long-foil
58,6,Dv4,B14,2,NA,FALSE,0,B14,single,long,6.1,0,long
58,4,Dv1,DF1,1,Dv1,TRUE,0,Dv1,single,single-foil,4,4.1,single
58,6,Dv6,B16,1,NA,FALSE,0,Dv6,single,long,6.1,0,single
58,6,B111,BF19,2,B111,FALSE,0,BF19,long,long-foil,6.2,0,long-foil
58,2,B11,BF11,2,B11,FALSE,0,BF11,long,long-foil,2.1,2.5,long-foil
58,1,A29,A22,1,NA,FALSE,0,A29,A-end,A-start,1.2,0,A-end
58,3,B25,A25,1,NA,FALSE,0,B25,baseline,prac,3.1,0,baseline
58,2,CF22,C24,1,C24,FALSE,0,CF22,short-foil,short,2.2,2.8,short-foil
58,2,BF22,CF24,1,NA,FALSE,0,BF22,long-foil,short-foil,2.4,0,long-foil
58,3,B26,A17,1,NA,FALSE,0,B26,baseline,prac,3.1,0,baseline
58,1,A19,A16,2,NA,FALSE,0,A16,related,prac,1.1,1.4,prac
58,2,C12,B12,2,NA,FALSE,0,B12,short-list,long-list,2.3,0,long-list
58,4,DF5,Dv5,2,Dv5,TRUE,0,Dv5,single-foil,single,4,4.3,single
59,5,Xv1,XF1,1,Xv1,TRUE,0,Xv1,buffer,buffer-foil,5,0,buffer
59,5,XF2,Xv2,2,Xv2,TRUE,0,Xv2,buffer-foil,buffer,5,0,buffer
59,5,Xv3,XF3,2,Xv3,FALSE,0,XF3,buffer,buffer-foil,5,0,buffer-foil
59,5,Xv4,XF4,1,Xv4,TRUE,0,Xv4,buffer,buffer-foil,5,0,buffer
59,5,Xv5,XF5,1,Xv5,TRUE,0,Xv5,buffer,buffer-foil,5,0,buffer
59,6,BF16,B110,2,B110,TRUE,0,B110,long-foil,long,6.2,0,long
59,4,Dv1,DF1,1,Dv1,TRUE,0,Dv1,single,single-foil,4,4.1,single
59,6,BF18,B19,2,B19,TRUE,0,B19,long-foil,long,6.2,0,long
59,2,B11,BF11,1,B11,TRUE,0,B11,long,long-foil,2.1,2.5,long
59,2,BF12,B114,1,B114,FALSE,0,BF12,long-foil,long,2.1,2.6,long-foil
59,6,B16,Dv6,2,NA,FALSE,0,Dv6,long,single,6.1,0,single
59,4,DF3,Dv3,2,Dv3,TRUE,0,Dv3,single-foil,single,4,4.2,single
59,3,A110,B214,2,NA,FALSE,0,B214,related,baseline,3.2,0,baseline
59,3,A210,B112,1,NA,FALSE,0,A210,related,baseline,3.2,0,related
59,1,A16,A19,1,NA,FALSE,0,A16,prac,related,1.1,1.4,prac
59,6,BF25,B29,2,B29,TRUE,0,B29,long-foil,long,6.2,0,long
59,2,C14,CF12,1,C14,TRUE,0,C14,short,short-foil,2.2,2.8,short
59,2,BF13,CF13,2,NA,FALSE,0,CF13,long-foil,short-foil,2.4,0,short-foil
59,6,B212,BF27,2,B212,FALSE,0,BF27,long,long-foil,6.2,0,long-foil
59,4,DF5,Dv5,2,Dv5,TRUE,0,Dv5,single-foil,single,4,4.3,single
59,6,B23,Dv2,1,NA,FALSE,0,B23,long,single,6.1,0,long
59,2,CF22,C24,2,C24,TRUE,0,C24,short-foil,short,2.2,2.8,short
59,4,Dv7,DF7,2,Dv7,FALSE,0,DF7,single,single-foil,4,4.4,single-foil
59,3,A25,B25,1,NA,FALSE,0,A25,prac,baseline,3.1,0,prac
59,1,A23,A28,2,NA,FALSE,0,A28,A-start,A-end,1.2,0,A-end
59,6,B15,BF17,2,B15,FALSE,0,BF17,long,long-foil,6.2,0,long-foil
59,2,B22,C22,1,NA,FALSE,0,B22,long-list,short-list,2.3,0,long-list
59,1,A12,A15,1,NA,FALSE,0,A12,related,prac,1.1,1.3,related
59,2,BF21,CF23,1,NA,FALSE,0,BF21,long-foil,short-foil,2.4,0,long-foil
59,6,BF15,B17,2,B17,TRUE,0,B17,long-foil,long,6.2,0,long
59,4,Dv10,DF10,1,Dv10,TRUE,0,Dv10,single,single-foil,4,4.6,single
59,6,B111,BF19,2,B111,FALSE,0,BF19,long,long-foil,6.2,0,long-foil
59,3,B21,A11,2,NA,FALSE,0,A11,baseline,related,3.3,0,related
59,6,Dv4,B14,2,NA,FALSE,0,B14,single,long,6.1,0,long
59,2,CF11,C11,2,C11,TRUE,0,C11,short-foil,short,2.2,2.7,short
59,2,B213,C23,1,NA,FALSE,0,B213,long-list,short-list,2.3,0,long-list
59,1,A22,A29,2,NA,FALSE,0,A29,A-start,A-end,1.2,0,A-end
59,1,A13,A18,2,NA,FALSE,0,A18,A-start,A-end,1.2,0,A-end
59,2,C21,CF21,1,C21,TRUE,0,C21,short,short-foil,2.2,2.7,short
59,6,BF24,B210,1,B210,FALSE,0,BF24,long-foil,long,6.2,0,long-foil
59,6,BF23,B28,2,B28,TRUE,0,B28,long-foil,long,6.2,0,long
59,2,B113,C13,2,NA,FALSE,0,C13,long-list,short-list,2.3,0,short-list
