subj,condition,trial,stimulus,count,proportion
43,study,1.1,related,1,0.5
43,study,1.2,A-end,1,0.333333333
43,study,1.2,A-start,2,0.666666667
43,study,2.1,long,1,0.5
43,study,2.1,long-foil,1,0.5
43,study,2.2,short,4,1
43,study,2.2,short-foil,0,0
43,study,2.3,long-list,2,0.5
43,study,2.3,short-list,2,0.5
43,study,2.4,long-foil,1,0.25
43,study,2.4,short-foil,3,0.75
43,study,3.1,baseline,1,0.25
43,study,3.1,prac,3,0.75
43,study,3.2,baseline,1,0.5
43,study,3.2,related,1,0.5
43,study,3.3,baseline,1,0.5
43,study,3.3,related,1,0.5
43,study,4,single,6,1
43,study,4,single-foil,0,0
43,study,5,buffer,5,1
43,study,5,buffer-foil,0,0
43,study,6.1,long,2,0.5
43,study,6.1,single,2,0.5
43,study,6.2,long,5,0.5
43,study,6.2,long-foil,5,0.5
47,study,1.1,prac,2,1
47,study,1.1,related,0,0
47,study,1.2,A-end,1,0.333333333
47,study,1.2,A-start,2,0.666666667
47,study,2.1,long,1,0.5
47,study,2.1,long-foil,1,0.5
47,study,2.2,short,3,0.75
47,study,2.2,short-foil,1,0.25
47,study,2.3,long-list,3,0.75
47,study,2.3,short-list,1,0.25
47,study,2.4,long-foil,3,0.75
47,study,2.4,short-foil,1,0.25
47,study,3.1,baseline,1,0.25
47,study,3.1,prac,3,0.75
47,study,3.2,baseline,2,1
47,study,3.2,related,0,0
47,study,3.3,baseline,1,0.5
47,study,3.3,related,1,0.5
47,study,4,single,6,1
47,study,4,single-foil,0,0
47,study,5,buffer,5,1
47,study,5,buffer-foil,0,0
47,study,6.1,long,3,0.75
47,study,6.1,single,1,0.25
47,study,6.2,long,8,0.8
47,study,6.2,long-foil,2,0.2
48,study,1.1,related,2,1
48,study,1.1,prac,0,0
48,study,1.2,A-end,1,0.333333333
48,study,1.2,A-start,2,0.666666667
48,study,2.1,long-foil,2,1
48,study,2.1,long,0,0
48,study,2.2,short,3,0.75
48,study,2.2,short-foil,1,0.25
48,study,2.3,long-list,3,0.75
48,study,2.3,short-list,1,0.25
48,study,2.4,long-foil,3,0.75
48,study,2.4,short-foil,1,0.25
48,study,3.1,baseline,3,0.75
48,study,3.1,prac,1,0.25
48,study,3.2,baseline,1,0.5
48,study,3.2,related,1,0.5
48,study,3.3,baseline,1,0.5
48,study,3.3,related,1,0.5
48,study,4,single,4,0.666666667
48,study,4,single-foil,2,0.333333333
48,study,5,buffer,4,0.8
48,study,5,buffer-foil,1,0.2
48,study,6.1,long,3,0.75
48,study,6.1,single,1,0.25
48,study,6.2,long,6,0.6
48,study,6.2,long-foil,4,0.4
49,study,1.1,prac,2,1
49,study,1.1,related,0,0
49,study,1.2,A-end,1,0.333333333
49,study,1.2,A-start,2,0.666666667
49,study,2.1,long,2,1
49,study,2.1,long-foil,0,0
49,study,2.2,short,4,1
49,study,2.2,short-foil,0,0
49,study,2.3,long-list,2,0.5
49,study,2.3,short-list,2,0.5
49,study,2.4,long-foil,3,0.75
49,study,2.4,short-foil,1,0.25
49,study,3.1,baseline,1,0.25
49,study,3.1,prac,3,0.75
49,study,3.2,related,2,1
49,study,3.2,baseline,0,0
49,study,3.3,baseline,1,0.5
49,study,3.3,related,1,0.5
49,study,4,single,6,1
49,study,4,single-foil,0,0
49,study,5,buffer,3,0.6
49,study,5,buffer-foil,2,0.4
49,study,6.1,long,2,0.5
49,study,6.1,single,2,0.5
49,study,6.2,long,8,0.8
49,study,6.2,long-foil,2,0.2
50,study,1.1,prac,2,1
50,study,1.1,related,0,0
50,study,1.2,A-start,3,1
50,study,1.2,A-end,0,0
50,study,2.1,long,2,1
50,study,2.1,long-foil,0,0
50,study,2.2,short,4,1
50,study,2.2,short-foil,0,0
50,study,2.3,long-list,2,0.5
50,study,2.3,short-list,2,0.5
50,study,2.4,long-foil,3,0.75
50,study,2.4,short-foil,1,0.25
50,study,3.1,baseline,3,0.75
50,study,3.1,prac,1,0.25
50,study,3.2,related,2,1
50,study,3.2,baseline,0,0
50,study,3.3,related,2,1
50,study,3.3,baseline,0,0
50,study,4,single,6,1
50,study,4,single-foil,0,0
50,study,5,buffer,4,0.8
50,study,5,buffer-foil,1,0.2
50,study,6.1,single,4,1
50,study,6.1,long,0,0
50,study,6.2,long,9,0.9
50,study,6.2,long-foil,1,0.1
53,study,1.1,prac,1,0.5
53,study,1.1,related,1,0.5
53,study,1.2,A-end,2,0.666666667
53,study,1.2,A-start,1,0.333333333
53,study,2.1,long,2,1
53,study,2.1,long-foil,0,0
53,study,2.2,short,4,1
53,study,2.2,short-foil,0,0
53,study,2.3,long-list,2,0.5
53,study,2.3,short-list,2,0.5
53,study,2.4,long-foil,2,0.5
53,study,2.4,short-foil,2,0.5
53,study,3.1,prac,4,1
53,study,3.1,baseline,0,0
53,study,3.2,baseline,1,0.5
53,study,3.2,related,1,0.5
53,study,3.3,baseline,1,0.5
53,study,3.3,related,1,0.5
53,study,4,single,6,1
53,study,4,single-foil,0,0
53,study,5,buffer,5,1
53,study,5,buffer-foil,0,0
53,study,6.1,long,2,0.5
53,study,6.1,single,2,0.5
53,study,6.2,long,9,0.9
53,study,6.2,long-foil,1,0.1
54,study,1.1,related,2,1
54,study,1.1,prac,0,0
54,study,1.2,A-end,3,1
54,study,1.2,A-start,0,0
54,study,2.1,long,1,0.5
54,study,2.1,long-foil,1,0.5
54,study,2.2,short,4,1
54,study,2.2,short-foil,0,0
54,study,2.3,long-list,1,0.25
54,study,2.3,short-list,3,0.75
54,study,2.4,long-foil,1,0.25
54,study,2.4,short-foil,3,0.75
54,study,3.1,baseline,2,0.5
54,study,3.1,prac,2,0.5
54,study,3.2,related,2,1
54,study,3.2,baseline,0,0
54,study,3.3,related,2,1
54,study,3.3,baseline,0,0
54,study,4,single,5,0.833333333
54,study,4,single-foil,1,0.166666667
54,study,5,buffer,5,1
54,study,5,buffer-foil,0,0
54,study,6.1,long,1,0.25
54,study,6.1,single,3,0.75
54,study,6.2,long,7,0.7
54,study,6.2,long-foil,3,0.3
56,study,1.1,prac,1,0.5
56,study,1.1,related,1,0.5
56,study,1.2,A-end,2,0.666666667
56,study,1.2,A-start,1,0.333333333
56,study,2.1,long,1,0.5
56,study,2.1,long-foil,1,0.5
56,study,2.2,short,2,0.5
56,study,2.2,short-foil,2,0.5
56,study,2.3,long-list,1,0.25
56,study,2.3,short-list,3,0.75
56,study,2.4,long-foil,4,1
56,study,2.4,short-foil,0,0
56,study,3.1,baseline,2,0.5
56,study,3.1,prac,2,0.5
56,study,3.2,baseline,1,0.5
56,study,3.2,related,1,0.5
56,study,3.3,related,2,1
56,study,3.3,baseline,0,0
56,study,4,single,5,0.833333333
56,study,4,single-foil,1,0.166666667
56,study,5,buffer,3,0.6
56,study,5,buffer-foil,2,0.4
56,study,6.1,long,3,0.75
56,study,6.1,single,1,0.25
56,study,6.2,long,7,0.7
56,study,6.2,long-foil,3,0.3
58,study,1.1,prac,2,1
58,study,1.1,related,0,0
58,study,1.2,A-end,2,0.666666667
58,study,1.2,A-start,1,0.333333333
58,study,2.1,long,1,0.5
58,study,2.1,long-foil,1,0.5
58,study,2.2,short,1,0.25
58,study,2.2,short-foil,3,0.75
58,study,2.3,long-list,2,0.5
58,study,2.3,short-list,2,0.5
58,study,2.4,long-foil,1,0.25
58,study,2.4,short-foil,3,0.75
58,study,3.1,baseline,2,0.5
58,study,3.1,prac,2,0.5
58,study,3.2,related,2,1
58,study,3.2,baseline,0,0
58,study,3.3,baseline,1,0.5
58,study,3.3,related,1,0.5
58,study,4,single,4,0.666666667
58,study,4,single-foil,2,0.333333333
58,study,5,buffer,4,0.8
58,study,5,buffer-foil,1,0.2
58,study,6.1,long,3,0.75
58,study,6.1,single,1,0.25
58,study,6.2,long,6,0.6
58,study,6.2,long-foil,4,0.4
59,study,1.1,prac,1,0.5
59,study,1.1,related,1,0.5
59,study,1.2,A-end,3,1
59,study,1.2,A-start,0,0
59,study,2.1,long,1,0.5
59,study,2.1,long-foil,1,0.5
59,study,2.2,short,4,1
59,study,2.2,short-foil,0,0
59,study,2.3,long-list,3,0.75
59,study,2.3,short-list,1,0.25
59,study,2.4,long-foil,1,0.25
59,study,2.4,short-foil,3,0.75
59,study,3.1,baseline,1,0.25
59,study,3.1,prac,3,0.75
59,study,3.2,baseline,1,0.5
59,study,3.2,related,1,0.5
59,study,3.3,related,2,1
59,study,3.3,baseline,0,0
59,study,4,single,5,0.833333333
59,study,4,single-foil,1,0.166666667
59,study,5,buffer,4,0.8
59,study,5,buffer-foil,1,0.2
59,study,6.1,long,3,0.75
59,study,6.1,single,1,0.25
59,study,6.2,long,5,0.5
59,study,6.2,long-foil,5,0.5
61,study,1.1,prac,1,0.5
61,study,1.1,related,1,0.5
61,study,1.2,A-end,2,0.666666667
61,study,1.2,A-start,1,0.333333333
61,study,2.1,long,2,1
61,study,2.1,long-foil,0,0
61,study,2.2,short,3,0.75
61,study,2.2,short-foil,1,0.25
61,study,2.3,long-list,1,0.25
61,study,2.3,short-list,3,0.75
61,study,2.4,short-foil,4,1
61,study,2.4,long-foil,0,0
61,study,3.1,baseline,2,0.5
61,study,3.1,prac,2,0.5
61,study,3.2,baseline,2,1
61,study,3.2,related,0,0
61,study,3.3,related,2,1
61,study,3.3,baseline,0,0
61,study,4,single,6,1
61,study,4,single-foil,0,0
61,study,5,buffer,5,1
61,study,5,buffer-foil,0,0
61,study,6.1,single,4,1
61,study,6.1,long,0,0
61,study,6.2,long,4,0.4
61,study,6.2,long-foil,6,0.6
62,study,1.1,prac,1,0.5
62,study,1.1,related,1,0.5
62,study,1.2,A-end,1,0.333333333
62,study,1.2,A-start,2,0.666666667
62,study,2.1,long,1,0.5
62,study,2.1,long-foil,1,0.5
62,study,2.2,short,2,0.5
62,study,2.2,short-foil,2,0.5
62,study,2.3,long-list,2,0.5
62,study,2.3,short-list,2,0.5
62,study,2.4,long-foil,2,0.5
62,study,2.4,short-foil,2,0.5
62,study,3.1,baseline,2,0.5
62,study,3.1,prac,2,0.5
62,study,3.2,baseline,1,0.5
62,study,3.2,related,1,0.5
62,study,3.3,baseline,1,0.5
62,study,3.3,related,1,0.5
62,study,4,single,5,0.833333333
62,study,4,single-foil,1,0.166666667
62,study,5,buffer,4,0.8
62,study,5,buffer-foil,1,0.2
62,study,6.1,long,1,0.25
62,study,6.1,single,3,0.75
62,study,6.2,long,4,0.4
62,study,6.2,long-foil,6,0.6
64,study,1.1,prac,1,0.5
64,study,1.1,related,1,0.5
64,study,1.2,A-end,1,0.333333333
64,study,1.2,A-start,2,0.666666667
64,study,2.1,long,2,1
64,study,2.1,long-foil,0,0
64,study,2.2,short,3,0.75
64,study,2.2,short-foil,1,0.25
64,study,2.3,long-list,3,0.75
64,study,2.3,short-list,1,0.25
64,study,2.4,long-foil,2,0.5
64,study,2.4,short-foil,2,0.5
64,study,3.1,baseline,1,0.25
64,study,3.1,prac,3,0.75
64,study,3.2,baseline,1,0.5
64,study,3.2,related,1,0.5
64,study,3.3,baseline,1,0.5
64,study,3.3,related,1,0.5
64,study,4,single,3,0.5
64,study,4,single-foil,3,0.5
64,study,5,buffer,2,0.4
64,study,5,buffer-foil,3,0.6
64,study,6.1,long,1,0.25
64,study,6.1,single,3,0.75
64,study,6.2,long,7,0.7
64,study,6.2,long-foil,3,0.3
65,study,1.1,prac,2,1
65,study,1.1,related,0,0
65,study,1.2,A-end,1,0.333333333
65,study,1.2,A-start,2,0.666666667
65,study,2.1,long,1,0.5
65,study,2.1,long-foil,1,0.5
65,study,2.2,short,3,0.75
65,study,2.2,short-foil,1,0.25
65,study,2.3,long-list,1,0.25
65,study,2.3,short-list,3,0.75
65,study,2.4,long-foil,1,0.25
65,study,2.4,short-foil,3,0.75
65,study,3.1,baseline,2,0.5
65,study,3.1,prac,2,0.5
65,study,3.2,baseline,2,1
65,study,3.2,related,0,0
65,study,3.3,related,2,1
65,study,3.3,baseline,0,0
65,study,4,single,5,0.833333333
65,study,4,single-foil,1,0.166666667
65,study,5,buffer,4,0.8
65,study,5,buffer-foil,1,0.2
65,study,6.1,long,3,0.75
65,study,6.1,single,1,0.25
65,study,6.2,long,9,0.9
65,study,6.2,long-foil,1,0.1
67,study,1.1,prac,1,0.5
67,study,1.1,related,1,0.5
67,study,1.2,A-end,1,0.333333333
67,study,1.2,A-start,2,0.666666667
67,study,2.1,long-foil,2,1
67,study,2.1,long,0,0
67,study,2.2,short,4,1
67,study,2.2,short-foil,0,0
67,study,2.3,short-list,4,1
67,study,2.3,long-list,0,0
67,study,2.4,long-foil,1,0.25
67,study,2.4,short-foil,3,0.75
67,study,3.1,baseline,2,0.5
67,study,3.1,prac,2,0.5
67,study,3.2,baseline,1,0.5
67,study,3.2,related,1,0.5
67,study,3.3,baseline,1,0.5
67,study,3.3,related,1,0.5
67,study,4,single,3,0.5
67,study,4,single-foil,3,0.5
67,study,5,buffer,5,1
67,study,5,buffer-foil,0,0
67,study,6.1,long,2,0.5
67,study,6.1,single,2,0.5
67,study,6.2,long,6,0.6
67,study,6.2,long-foil,4,0.4
68,study,1.1,related,2,1
68,study,1.1,prac,0,0
68,study,1.2,A-end,2,0.666666667
68,study,1.2,A-start,1,0.333333333
68,study,2.1,long,1,0.5
68,study,2.1,long-foil,1,0.5
68,study,2.2,short,3,0.75
68,study,2.2,short-foil,1,0.25
68,study,2.3,long-list,3,0.75
68,study,2.3,short-list,1,0.25
68,study,2.4,long-foil,2,0.5
68,study,2.4,short-foil,2,0.5
68,study,3.1,baseline,3,0.75
68,study,3.1,prac,1,0.25
68,study,3.2,related,2,1
68,study,3.2,baseline,0,0
68,study,3.3,baseline,2,1
68,study,3.3,related,0,0
68,study,4,single,2,0.333333333
68,study,4,single-foil,4,0.666666667
68,study,5,buffer,4,0.8
68,study,5,buffer-foil,1,0.2
68,study,6.1,long,4,1
68,study,6.1,single,0,0
68,study,6.2,long,6,0.6
68,study,6.2,long-foil,4,0.4
69,study,1.1,prac,2,1
69,study,1.1,related,0,0
69,study,1.2,A-end,3,1
69,study,1.2,A-start,0,0
69,study,2.1,long,1,0.5
69,study,2.1,long-foil,1,0.5
69,study,2.2,short,2,0.5
69,study,2.2,short-foil,2,0.5
69,study,2.3,long-list,3,0.75
69,study,2.3,short-list,1,0.25
69,study,2.4,long-foil,3,0.75
69,study,2.4,short-foil,1,0.25
69,study,3.1,baseline,3,0.75
69,study,3.1,prac,1,0.25
69,study,3.2,baseline,2,1
69,study,3.2,related,0,0
69,study,3.3,related,2,1
69,study,3.3,baseline,0,0
69,study,4,single,6,1
69,study,4,single-foil,0,0
69,study,5,buffer,5,1
69,study,5,buffer-foil,0,0
69,study,6.1,long,1,0.25
69,study,6.1,single,3,0.75
69,study,6.2,long,5,0.5
69,study,6.2,long-foil,5,0.5
70,study,1.1,prac,1,0.5
70,study,1.1,related,1,0.5
70,study,1.2,A-end,1,0.333333333
70,study,1.2,A-start,2,0.666666667
70,study,2.1,long,1,0.5
70,study,2.1,long-foil,1,0.5
70,study,2.2,short,2,0.5
70,study,2.2,short-foil,2,0.5
70,study,2.3,long-list,2,0.5
70,study,2.3,short-list,2,0.5
70,study,2.4,long-foil,2,0.5
70,study,2.4,short-foil,2,0.5
70,study,3.1,baseline,1,0.25
70,study,3.1,prac,3,0.75
70,study,3.2,baseline,1,0.5
70,study,3.2,related,1,0.5
70,study,3.3,baseline,1,0.5
70,study,3.3,related,1,0.5
70,study,4,single,5,0.833333333
70,study,4,single-foil,1,0.166666667
70,study,5,buffer,5,1
70,study,5,buffer-foil,0,0
70,study,6.1,long,1,0.25
70,study,6.1,single,3,0.75
70,study,6.2,long,7,0.7
70,study,6.2,long-foil,3,0.3
72,study,1.1,related,2,1
72,study,1.1,prac,0,0
72,study,1.2,A-start,3,1
72,study,1.2,A-end,0,0
72,study,2.1,long,2,1
72,study,2.1,long-foil,0,0
72,study,2.2,short,2,0.5
72,study,2.2,short-foil,2,0.5
72,study,2.3,long-list,2,0.5
72,study,2.3,short-list,2,0.5
72,study,2.4,long-foil,1,0.25
72,study,2.4,short-foil,3,0.75
72,study,3.1,baseline,3,0.75
72,study,3.1,prac,1,0.25
72,study,3.2,baseline,1,0.5
72,study,3.2,related,1,0.5
72,study,3.3,baseline,1,0.5
72,study,3.3,related,1,0.5
72,study,4,single,4,0.666666667
72,study,4,single-foil,2,0.333333333
72,study,5,buffer,5,1
72,study,5,buffer-foil,0,0
72,study,6.1,long,2,0.5
72,study,6.1,single,2,0.5
72,study,6.2,long,4,0.4
72,study,6.2,long-foil,6,0.6
73,study,1.1,prac,1,0.5
73,study,1.1,related,1,0.5
73,study,1.2,A-end,2,0.666666667
73,study,1.2,A-start,1,0.333333333
73,study,2.1,long,2,1
73,study,2.1,long-foil,0,0
73,study,2.2,short,4,1
73,study,2.2,short-foil,0,0
73,study,2.3,long-list,1,0.25
73,study,2.3,short-list,3,0.75
73,study,2.4,long-foil,3,0.75
73,study,2.4,short-foil,1,0.25
73,study,3.1,baseline,1,0.25
73,study,3.1,prac,3,0.75
73,study,3.2,related,2,1
73,study,3.2,baseline,0,0
73,study,3.3,baseline,1,0.5
73,study,3.3,related,1,0.5
73,study,4,single,5,0.833333333
73,study,4,single-foil,1,0.166666667
73,study,5,buffer,5,1
73,study,5,buffer-foil,0,0
73,study,6.1,single,4,1
73,study,6.1,long,0,0
73,study,6.2,long,9,0.9
73,study,6.2,long-foil,1,0.1
75,study,1.1,prac,2,1
75,study,1.1,related,0,0
75,study,1.2,A-end,2,0.666666667
75,study,1.2,A-start,1,0.333333333
75,study,2.1,long,1,0.5
75,study,2.1,long-foil,1,0.5
75,study,2.2,short,2,0.5
75,study,2.2,short-foil,2,0.5
75,study,2.3,long-list,4,1
75,study,2.3,short-list,0,0
75,study,2.4,long-foil,2,0.5
75,study,2.4,short-foil,2,0.5
75,study,3.1,baseline,2,0.5
75,study,3.1,prac,2,0.5
75,study,3.2,baseline,1,0.5
75,study,3.2,related,1,0.5
75,study,3.3,related,2,1
75,study,3.3,baseline,0,0
75,study,4,single,5,0.833333333
75,study,4,single-foil,1,0.166666667
75,study,5,buffer,3,0.6
75,study,5,buffer-foil,2,0.4
75,study,6.1,long,3,0.75
75,study,6.1,single,1,0.25
75,study,6.2,long,6,0.6
75,study,6.2,long-foil,4,0.4
76,study,1.1,prac,2,1
76,study,1.1,related,0,0
76,study,1.2,A-end,1,0.333333333
76,study,1.2,A-start,2,0.666666667
76,study,2.1,long,2,1
76,study,2.1,long-foil,0,0
76,study,2.2,short,3,0.75
76,study,2.2,short-foil,1,0.25
76,study,2.3,long-list,1,0.25
76,study,2.3,short-list,3,0.75
76,study,2.4,long-foil,3,0.75
76,study,2.4,short-foil,1,0.25
76,study,3.1,baseline,3,0.75
76,study,3.1,prac,1,0.25
76,study,3.2,baseline,2,1
76,study,3.2,related,0,0
76,study,3.3,baseline,1,0.5
76,study,3.3,related,1,0.5
76,study,4,single,2,0.333333333
76,study,4,single-foil,4,0.666666667
76,study,5,buffer,5,1
76,study,5,buffer-foil,0,0
76,study,6.1,long,2,0.5
76,study,6.1,single,2,0.5
76,study,6.2,long,7,0.7
76,study,6.2,long-foil,3,0.3
78,study,1.1,prac,2,1
78,study,1.1,related,0,0
78,study,1.2,A-end,1,0.333333333
78,study,1.2,A-start,2,0.666666667
78,study,2.1,long,1,0.5
78,study,2.1,long-foil,1,0.5
78,study,2.2,short,2,0.5
78,study,2.2,short-foil,2,0.5
78,study,2.3,short-list,4,1
78,study,2.3,long-list,0,0
78,study,2.4,long-foil,2,0.5
78,study,2.4,short-foil,2,0.5
78,study,3.1,baseline,1,0.25
78,study,3.1,prac,3,0.75
78,study,3.2,baseline,1,0.5
78,study,3.2,related,1,0.5
78,study,3.3,related,2,1
78,study,3.3,baseline,0,0
78,study,4,single,4,0.666666667
78,study,4,single-foil,2,0.333333333
78,study,5,buffer,5,1
78,study,5,buffer-foil,0,0
78,study,6.1,long,3,0.75
78,study,6.1,single,1,0.25
78,study,6.2,long,6,0.6
78,study,6.2,long-foil,4,0.4
80,study,1.1,prac,1,0.5
80,study,1.1,related,1,0.5
80,study,1.2,A-end,1,0.333333333
80,study,1.2,A-start,2,0.666666667
80,study,2.1,long,2,1
80,study,2.1,long-foil,0,0
80,study,2.2,short,3,0.75
80,study,2.2,short-foil,1,0.25
80,study,2.3,short-list,4,1
80,study,2.3,long-list,0,0
80,study,2.4,long-foil,2,0.5
80,study,2.4,short-foil,2,0.5
80,study,3.1,baseline,1,0.25
80,study,3.1,prac,3,0.75
80,study,3.2,baseline,1,0.5
80,study,3.2,related,1,0.5
80,study,3.3,baseline,1,0.5
80,study,3.3,related,1,0.5
80,study,4,single,5,0.833333333
80,study,4,single-foil,1,0.166666667
80,study,5,buffer,5,1
80,study,5,buffer-foil,0,0
80,study,6.1,single,4,1
80,study,6.1,long,0,0
80,study,6.2,long,6,0.6
80,study,6.2,long-foil,4,0.4
81,study,1.1,related,2,1
81,study,1.1,prac,0,0
81,study,1.2,A-end,1,0.333333333
81,study,1.2,A-start,2,0.666666667
81,study,2.1,long,2,1
81,study,2.1,long-foil,0,0
81,study,2.2,short,3,0.75
81,study,2.2,short-foil,1,0.25
81,study,2.3,long-list,3,0.75
81,study,2.3,short-list,1,0.25
81,study,2.4,long-foil,4,1
81,study,2.4,short-foil,0,0
81,study,3.1,baseline,2,0.5
81,study,3.1,prac,2,0.5
81,study,3.2,baseline,1,0.5
81,study,3.2,related,1,0.5
81,study,3.3,related,2,1
81,study,3.3,baseline,0,0
81,study,4,single,5,0.833333333
81,study,4,single-foil,1,0.166666667
81,study,5,buffer,5,1
81,study,5,buffer-foil,0,0
81,study,6.1,long,1,0.25
81,study,6.1,single,3,0.75
81,study,6.2,long,5,0.5
81,study,6.2,long-foil,5,0.5
82,study,1.1,prac,2,1
82,study,1.1,related,0,0
82,study,1.2,A-start,3,1
82,study,1.2,A-end,0,0
82,study,2.1,long,2,1
82,study,2.1,long-foil,0,0
82,study,2.2,short,1,0.25
82,study,2.2,short-foil,3,0.75
82,study,2.3,long-list,3,0.75
82,study,2.3,short-list,1,0.25
82,study,2.4,long-foil,3,0.75
82,study,2.4,short-foil,1,0.25
82,study,3.1,baseline,1,0.25
82,study,3.1,prac,3,0.75
82,study,3.2,baseline,1,0.5
82,study,3.2,related,1,0.5
82,study,3.3,baseline,1,0.5
82,study,3.3,related,1,0.5
82,study,4,single,4,0.666666667
82,study,4,single-foil,2,0.333333333
82,study,5,buffer,3,0.6
82,study,5,buffer-foil,2,0.4
82,study,6.1,long,4,1
82,study,6.1,single,0,0
82,study,6.2,long,6,0.6
82,study,6.2,long-foil,4,0.4
83,study,1.1,prac,2,1
83,study,1.1,related,0,0
83,study,1.2,A-end,2,0.666666667
83,study,1.2,A-start,1,0.333333333
83,study,2.1,long,2,1
83,study,2.1,long-foil,0,0
83,study,2.2,short,2,0.5
83,study,2.2,short-foil,2,0.5
83,study,2.3,short-list,4,1
83,study,2.3,long-list,0,0
83,study,2.4,long-foil,2,0.5
83,study,2.4,short-foil,2,0.5
83,study,3.1,baseline,2,0.5
83,study,3.1,prac,2,0.5
83,study,3.2,related,2,1
83,study,3.2,baseline,0,0
83,study,3.3,related,2,1
83,study,3.3,baseline,0,0
83,study,4,single,6,1
83,study,4,single-foil,0,0
83,study,5,buffer,5,1
83,study,5,buffer-foil,0,0
83,study,6.1,long,1,0.25
83,study,6.1,single,3,0.75
83,study,6.2,long,8,0.8
83,study,6.2,long-foil,2,0.2
84,study,1.1,prac,1,0.5
84,study,1.1,related,1,0.5
84,study,1.2,A-end,1,0.333333333
84,study,1.2,A-start,2,0.666666667
84,study,2.1,long-foil,2,1
84,study,2.1,long,0,0
84,study,2.2,short,4,1
84,study,2.2,short-foil,0,0
84,study,2.3,long-list,2,0.5
84,study,2.3,short-list,2,0.5
84,study,2.4,long-foil,2,0.5
84,study,2.4,short-foil,2,0.5
84,study,3.1,baseline,2,0.5
84,study,3.1,prac,2,0.5
84,study,3.2,baseline,2,1
84,study,3.2,related,0,0
84,study,3.3,baseline,1,0.5
84,study,3.3,related,1,0.5
84,study,4,single,3,0.5
84,study,4,single-foil,3,0.5
84,study,5,buffer,3,0.6
84,study,5,buffer-foil,2,0.4
84,study,6.1,long,3,0.75
84,study,6.1,single,1,0.25
84,study,6.2,long,6,0.6
84,study,6.2,long-foil,4,0.4
86,study,1.1,prac,2,1
86,study,1.1,related,0,0
86,study,1.2,A-end,2,0.666666667
86,study,1.2,A-start,1,0.333333333
86,study,2.1,long,2,1
86,study,2.1,long-foil,0,0
86,study,2.2,short,2,0.5
86,study,2.2,short-foil,2,0.5
86,study,2.3,long-list,2,0.5
86,study,2.3,short-list,2,0.5
86,study,2.4,long-foil,2,0.5
86,study,2.4,short-foil,2,0.5
86,study,3.1,baseline,2,0.5
86,study,3.1,prac,2,0.5
86,study,3.2,baseline,1,0.5
86,study,3.2,related,1,0.5
86,study,3.3,related,2,1
86,study,3.3,baseline,0,0
86,study,4,single,5,0.833333333
86,study,4,single-foil,1,0.166666667
86,study,5,buffer,3,0.6
86,study,5,buffer-foil,2,0.4
86,study,6.1,single,4,1
86,study,6.1,long,0,0
86,study,6.2,long,6,0.6
86,study,6.2,long-foil,4,0.4
87,study,1.1,related,2,1
87,study,1.1,prac,0,0
87,study,1.2,A-end,1,0.333333333
87,study,1.2,A-start,2,0.666666667
87,study,2.1,long,1,0.5
87,study,2.1,long-foil,1,0.5
87,study,2.2,short,3,0.75
87,study,2.2,short-foil,1,0.25
87,study,2.3,long-list,2,0.5
87,study,2.3,short-list,2,0.5
87,study,2.4,long-foil,3,0.75
87,study,2.4,short-foil,1,0.25
87,study,3.1,baseline,2,0.5
87,study,3.1,prac,2,0.5
87,study,3.2,related,2,1
87,study,3.2,baseline,0,0
87,study,3.3,related,2,1
87,study,3.3,baseline,0,0
87,study,4,single,4,0.666666667
87,study,4,single-foil,2,0.333333333
87,study,5,buffer,3,0.6
87,study,5,buffer-foil,2,0.4
87,study,6.1,long,2,0.5
87,study,6.1,single,2,0.5
87,study,6.2,long,5,0.5
87,study,6.2,long-foil,5,0.5
89,study,1.1,prac,2,1
89,study,1.1,related,0,0
89,study,1.2,A-end,1,0.333333333
89,study,1.2,A-start,2,0.666666667
89,study,2.1,long,1,0.5
89,study,2.1,long-foil,1,0.5
89,study,2.2,short,2,0.5
89,study,2.2,short-foil,2,0.5
89,study,2.3,long-list,3,0.75
89,study,2.3,short-list,1,0.25
89,study,2.4,long-foil,3,0.75
89,study,2.4,short-foil,1,0.25
89,study,3.1,baseline,1,0.25
89,study,3.1,prac,3,0.75
89,study,3.2,baseline,1,0.5
89,study,3.2,related,1,0.5
89,study,3.3,related,2,1
89,study,3.3,baseline,0,0
89,study,4,single,4,0.666666667
89,study,4,single-foil,2,0.333333333
89,study,5,buffer,5,1
89,study,5,buffer-foil,0,0
89,study,6.1,long,2,0.5
89,study,6.1,single,2,0.5
89,study,6.2,long,6,0.6
89,study,6.2,long-foil,4,0.4
90,study,1.1,prac,1,0.5
90,study,1.1,related,1,0.5
90,study,1.2,A-end,2,0.666666667
90,study,1.2,A-start,1,0.333333333
90,study,2.1,long,2,1
90,study,2.1,long-foil,0,0
90,study,2.2,short,4,1
90,study,2.2,short-foil,0,0
90,study,2.3,long-list,1,0.25
90,study,2.3,short-list,3,0.75
90,study,2.4,long-foil,2,0.5
90,study,2.4,short-foil,2,0.5
90,study,3.1,baseline,2,0.5
90,study,3.1,prac,2,0.5
90,study,3.2,baseline,1,0.5
90,study,3.2,related,1,0.5
90,study,3.3,related,2,1
90,study,3.3,baseline,0,0
90,study,4,single,6,1
90,study,4,single-foil,0,0
90,study,5,buffer,5,1
90,study,5,buffer-foil,0,0
